date,data
10-04-2023 15:06,"{"faultid": "0","date": "2023-8-19 13:14:24"}"
10-04-2023 15:06,"{"faultid": "8","date": "2023-8-19 13:14:28"}"
10-04-2023 15:06,"{"faultid": "5","date": "2023-8-19 13:15:58"}"
10-04-2023 15:06,"{"faultid": "0","date": "2023-8-19 13:19:48"}"
10-04-2023 15:13,"{"faultid": "0","date": "2023-8-19 13:28:14"}"
10-04-2023 15:16,"{"faultid": "2","date": "2023-8-19 13:28:28"}"
10-04-2023 15:16,"{"faultid": "0","date": "2023-8-19 13:28:35"}"
10-04-2023 15:23,"{"faultid": "0","date": "2023-08-19 13:29:31"}"
10-04-2023 15:26,"{"faultid": "9","date": "2023-8-19 13:29:48"}"
10-04-2023 15:26,"{"faultid": "0","date": "2023-08-19 13:31:06"}"
10-04-2023 15:33,"{"faultid": "0","date": "2023-08-19 13:31:23"}"
10-04-2023 15:36,"{"faultid": "0","date": "2023-8-19 13:34:4"}"
10-04-2023 15:36,"{"faultid": "0","date": "2023-08-19 13:34:05"}"
10-04-2023 15:43,"{"faultid": "0","date": "2023-08-19 13:34:22"}"
10-04-2023 15:46,"{"faultid": "10","date":"2023-8-19 13:34:24"}"
10-04-2023 15:46,"{"faultid": "9","date": "2023-8-19 13:35:58"}"
10-04-2023 15:53,"{"faultid": "3","date": "2023-08-19 13:37:21"}"
12-04-2023 15:56,"{"faultid": "0","date": "2023-8-19 13:39:49"}"
12-04-2023 15:56,"{"faultid": "0","date": "2023-08-19 13:40:04"}"
12-04-2023 16:03,"{"faultid": "9","date": "2023-08-19 13:40:21"}"
12-04-2023 16:06,"{"faultid": "9","date": "2023-08-19 13:43:03"}"
12-04-2023 16:06,"{"faultid": "9","date": "2023-08-19 13:43:22"}"
12-04-2023 16:13,"{"faultid": "9","date": "2023-8-19 13:44:5"}"
12-04-2023 16:16,"{"faultid": "9","date": "2023-8-19 13:44:25"}"
12-04-2023 16:16,"{"faultid": "9","date": "2023-08-19 13:46:03"}"
12-04-2023 16:24,"{"faultid": "0","date": "2023-8-19 13:45:59"}"
12-04-2023 16:26,"{"faultid": "0","date": "2023-08-19 13:46:21"}"
12-04-2023 16:26,"{"faultid": "0","date": "2023-08-19 13:49:01"}"
15-04-2023 16:34,"{"faultid": "3","date": "2023-08-19 13:49:21"}"
15-04-2023 16:36,"{"faultid": "6","date": "2023-8-19 13:49:49"}"
15-04-2023 16:36,"{"faultid": "6","date": "2023-08-19 13:52:01"}"
15-04-2023 16:44,"{"faultid": "6","date": "2023-08-19 13:52:20"}"
15-04-2023 16:46,"{"faultid": "6","date": "2023-8-19 13:54:5"}"
15-04-2023 16:46,"{"faultid": "6","date": "2023-8-19 13:54:25"}"
15-04-2023 16:54,"{"faultid": "6","date": "2023-08-19 13:55:01"}"
15-04-2023 16:56,"{"faultid": "6","date": "2023-08-19 13:55:20"}"
15-04-2023 16:56,"{"faultid": "0","date": "2023-8-19 13:55:58"}"
15-04-2023 17:03,"{"faultid": "8","date": "2023-08-19 13:58:00"}"
15-04-2023 17:06,"{"faultid": "0","date": "2023-08-19 13:58:20"}"
15-04-2023 17:06,"{"faultid": "8","date": "2023-8-19 13:59:50"}"
15-04-2023 17:16,"{"faultid": "0","date": "2023-08-19 14:00:59"}"
15-04-2023 17:16,"{"faultid": "0","date": "2023-08-19 14:01:19"}"
15-04-2023 17:26,"{"faultid": "6","date": "2023-08-19 14:03:59"}"
15-04-2023 17:26,"{"faultid": "0","date": "2023-8-19 14:4:8"}"
15-04-2023 17:36,"{"faultid": "0","date": "2023-08-19 14:04:19"}"
15-04-2023 17:36,"{"faultid": "10","date":"2023-8-19 14:4:26"}"
15-04-2023 17:46,"{"faultid": "0","date": "2023-8-19 14:5:59"}"
17-04-2023 17:46,"{"faultid": "0","date": "2023-08-19 14:06:58"}"
17-04-2023 17:56,"{"faultid": "0","date": "2023-08-19 14:07:19"}"
17-04-2023 17:56,"{"faultid": "0","date": "2023-8-19 14:9:50"}"
17-04-2023 17:57,"{"faultid": "5","date": "2023-08-19 14:09:57"}"
17-04-2023 18:01,"{"faultid": "0","date": "2023-08-19 14:10:18"}"
17-04-2023 18:06,"{"faultid": "0","date" "2023-08-19 14:12:57"}"
17-04-2023 18:06,"{"faultid": "9","date": "2023-08-19 14:13:18"}"
17-04-2023 18:16,"{"faultid": "0","date": "2023-8-19 14:14:8"}"
17-04-2023 18:16,"{"faultid": "0","date": "2023-8-19 14:14:27"}"
17-04-2023 18:26,"{"faultid": "17","date":"2023-08-19 14:15:56"}"
17-04-2023 18:26,"{"faultid": "0","date": "2023-8-19 14:15:59"}"
17-04-2023 18:36,"{"faultid": "0","date": "2023-08-19 14:16:18"}"
17-04-2023 18:46,"{"faultid": "9","date": "2023-08-19 14:18:56"}"
17-04-2023 18:49,"{"faultid": "0","date": "2023-08-19 14:19:17"}"
17-04-2023 06:17,"{"faultid": "4","date": "2023-8-19 14:19:51"}"
20-04-2023 06:20,"{"faultid": "0","date": "2023-08-19 14:21:55"}"
20-04-2023 06:27,"{"faultid": "0","date": "2023-08-19 14:22:18"}"
20-04-2023 06:30,"{"faultid": "0","date": "2023-8-19 14:24:9"}"
20-04-2023 06:37,"{"faultid": "6","date": "2023-8-19 14:24:27"}"
20-04-2023 06:40,"{"faultid": "0","date": "2023-08-19 14:24:54"}"
20-04-2023 06:47,"{"faultid": "6","date": "2023-08-19 14:25:16"}"
20-04-2023 06:50,"{"faultid": "0","date": "2023-8-19 14:26:0"}"
20-04-2023 06:57,"{"faultid": "5","date": "2023-08-19 14:27:54"}"
20-04-2023 07:00,"{"faultid": "0","date": "2023-08-19 14:28:16"}"
20-04-2023 07:07,"{"faultid": "0","date": "2023-8-19 14:29:50"}"
20-04-2023 07:10,"{"faultid": "0","date": "2023-08-19 14:30:53"}"
20-04-2023 07:17,"{"faultid": "0","date": "2023-08-19 14:31:15"}